Analysis	Replicate	TP	FP	FN	TN	Type1	Recall	Precision	F1Score
emergence	0	2	2	10	108	0.0181818181818182	0.166666666666667	0.5	0.25
correlation	0	8	0	4	110	0	0.666666666666667	1	0.8
condor	0	2	0	10	110	0	0.166666666666667	1	0.285714285714286
emergence	1	2	1	10	125	0.00793650793650794	0.166666666666667	0.666666666666667	0.266666666666667
correlation	1	6	2	6	124	0.0158730158730159	0.5	0.75	0.6
condor	1	2	0	10	126	0	0.166666666666667	1	0.285714285714286
emergence	2	2	0	10	117	0	0.166666666666667	1	0.285714285714286
correlation	2	7	0	5	117	0	0.583333333333333	1	0.736842105263158
condor	2	1	0	11	117	0	0.0833333333333333	1	0.153846153846154
emergence	3	2	0	10	117	0	0.166666666666667	1	0.285714285714286
correlation	3	7	0	5	117	0	0.583333333333333	1	0.736842105263158
condor	3	2	0	10	117	0	0.166666666666667	1	0.285714285714286
emergence	4	2	0	10	134	0	0.166666666666667	1	0.285714285714286
correlation	4	7	0	5	134	0	0.583333333333333	1	0.736842105263158
condor	4	2	0	10	134	0	0.166666666666667	1	0.285714285714286
emergence	5	1	1	11	138	0.00719424460431655	0.0833333333333333	0.5	0.142857142857143
correlation	5	7	1	5	138	0.00719424460431655	0.583333333333333	0.875	0.7
condor	5	1	0	11	139	0	0.0833333333333333	1	0.153846153846154
emergence	6	2	2	10	122	0.0161290322580645	0.166666666666667	0.5	0.25
correlation	6	6	2	6	122	0.0161290322580645	0.5	0.75	0.6
condor	6	2	0	10	124	0	0.166666666666667	1	0.285714285714286
emergence	7	1	2	11	124	0.0158730158730159	0.0833333333333333	0.333333333333333	0.133333333333333
correlation	7	8	2	4	124	0.0158730158730159	0.666666666666667	0.8	0.727272727272727
condor	7	1	0	11	126	0	0.0833333333333333	1	0.153846153846154
emergence	8	1	0	11	128	0	0.0833333333333333	1	0.153846153846154
correlation	8	8	0	4	128	0	0.666666666666667	1	0.8
condor	8	1	0	11	128	0	0.0833333333333333	1	0.153846153846154
emergence	9	2	0	10	106	0	0.166666666666667	1	0.285714285714286
correlation	9	7	0	5	106	0	0.583333333333333	1	0.736842105263158
condor	9	2	0	10	106	0	0.166666666666667	1	0.285714285714286
emergence	AVG	1.7	0.8	10.3	121.9	0.006519967400163	0.141666666666667	0.68	0.23448275862069
correlation	AVG	7.1	0.7	4.9	122	0.00570497147514262	0.591666666666667	0.91025641025641	0.717171717171717
condor	AVG	1.6	0	10.4	122.7	0	0.133333333333333	1	0.235294117647059
