node	ismarine
Lates_niloticus	False
n965	True
n966966	True
Rhinogobiops_nicholsii	True
Fusigobius_neophytus	True
Lophogobius_cyprinoides	False
n980	True
Coryphaenoides_rupestris	True
Myripristis_berndti	True
Myripristis_violacea	True
n983	True
n985985	True
Alepocephalus_agassizii	True
Hoplostethus_atlanticus	True
Beryx_decadactylus	True
n990990	True
Aulopus_filamentosus	True
n994	True
Chlorophthalmus_agassizi	True
Notolepis_coatsi	True
n999	False
Galaxias_paucispondylus	False
n10081008	False
n10091009	False
Biwia_zezera	False
n99	False
n1212	False
Saurogobio_dabryi	False
n2121	False
Pseudogobio_vaillanti	False
n25	False
Romanogobio_tanaiticus	False
n2626	False
Gobio_gobio	False
Aphyocypris_chinensis	False
n29	False
Candidia_barbata	False
n30	False
n45	False
Elopichthys_bambusa	False
n5353	False
Notropis_spectrunculus	False
n120120	False
Notropis_volucellus	False
Notropis_blennius	False
Notropis_rubellus	False
n133133	False
n137137	False
n141141	False
n143	False
Apteronotus_albifrons	False
n146146	False
n149	False
n151151	False
n156156	False
Garra_tengchongensis	False
n235	False
Opsarius_koratensis	False
n237237	False
n262	False
n265	False
Labeo_boga	False
n266266	False
n273273	False
n276276	False
n277	False
Psilorhynchus_homaloptera	False
Psilorhynchus_sucatio	False
Rasbora_daniconius	False
Rasboroides_vaterifloris	False
Catostomus_commersonii	False
Hypentelium_nigricans	False
Cycleptus_elongatus	False
Minytrema_melanops	False
n296	False
Raiamas_bola	False
Barilius_bendelisis	False
n298	False
Raiamas_batesii	False
Raiamas_senegalensis	False
Barilius_canarensis	False
Opsaridium_ubangiense	False
Opsaridium_boweni	False
n302	False
Opsaridium_peringueyi	False
n303	False
n309	True
n311	True
n316316	False
n318318	False
n320320	True
n683	True
n688	True
n695	True
n697697	False
n754754	False
n796796	False
Colomesus_asellus	False
n808808	True
n864864	True
n866	True
n914	True
n954954	False
Periophthalmus_barbarus	False
Trimma_caesiura	True
Trimma_flammeum	True
n967	True
Coryphopterus_punctipectophorus	True
n980980	True
Coryphaenoides_profundicolus	True
n983983	True
Sargocentron_punctatissimum	True
n986	True
Sargocentron_microstoma	True
n991	True
Neocyttus_helgae	True
Synodus_foetens	False
Synodus_saurus	True
n999999	False
Galaxias_maculatus	False
n1009	False
Salmo_trutta	False
Oncorhynchus_gorbuscha	False
Oncorhynchus_keta	False
Rhinogobio_typus	False
n10	False
n13	False
Hemibarbus_mylodon	False
n2222	False
n2323	False
Gobio_coriparoides	False
n2525	False
Gobio_cynocephalus	False
Romanogobio_tenuicorpus	False
Parachela_siamensis	False
Parachela_williaminae	False
n3030	False
n37	False
n4545	False
n50	False
n54	False
n118	False
Notropis_leuciodus	False
Notropis_texanus	False
n134	False
Cranoglanis_bouderius	False
n138	False
Silurus_meridionalis	False
n142	False
Glaridoglanis_andersonii	False
Exostoma_labiatum	False
Glyptosternon_maculatum	False
n147	False
Rhamphichthys_marmoratus	False
n149149	False
Hepsetus_odoe	False
Hoplias_malabaricus	False
Phenacogrammus_interruptus	False
n157	False
n234	False
n235235	False
n236	False
n238	False
n259259	False
n262262	False
Danio_feegradei	False
Bangana_dero	False
Labeo_bata	False
n267	False
n273	False
n274	False
Laubuca_caeruleostigmata	False
Amblypharyngodon_chulabhornae	False
Amblypharyngodon_mola	False
n277277	False
Pectenocypris_korthausae	False
n296296	False
Barilius_caudiocellatus	False
Cabdio_morar	False
Securicula_gora	False
Raiamas_buchholzi	False
Raiamas_christyi	False
Raiamas_salmolucius	False
Rastrineobola_argentea	False
Abudefduf_sexfasciatus	True
n309309	True
n311311	True
n315315	True
n317	False
n318	False
Andinoacara_coeruleopunctatus	False
n319	False
n321	True
n681681	True
n683683	True
n685	True
n688688	True
n694694	True
n695695	False
Onigocia_bimaculata	True
n698	False
n754	False
n755	False
Austrofundulus_leohoignei	False
n797	False
n800800	False
n809	True
n853853	True
n865	True
Gobiesox_rhessodon	True
n866866	True
n913913	True
n914914	True
n948948	True
n955	False
Smilosicyopus_sasali	False
n967967	True
Coryphopterus_dicrus	True
n981	True
Coryphaenoides_leptolepis	True
n984	True
n984984	True
Sargocentron_diadema	True
Sargocentron_xantherythrum	True
Beryx_splendens	True
n991991	True
n1000	False
Galaxias_neocaledonicus	False
Coregonus_autumnalis	False
Salmo_salar	False
Squalidus_argentatus	False
Squalidus_wolterstorffi	False
n1313	False
Gnathopogon_elongatus	False
n23	False
Microphysogobio_elongatus	False
Pseudogobio_esocinus	False
Pseudogobio_guilinensis	False
Microphysogobio_longidorsalis	False
Romanogobio_ciscaucasicus	False
n31	False
Nipponocypris_sieboldii	False
n3737	False
n4242	False
n46	False
n49	False
n5050	False
Parachela_oxygastroides	False
n5454	False
n112112	False
n118118	False
n119	False
n134134	False
n136	False
n138138	False
n139139	False
n142142	False
Pareuchiloglanis_gracilicaudata	False
Brachyhypopomus_gauderio	False
Gymnotus_cylindricus	False
n150	False
Brycinus_macrolepidotus	False
n157157	False
n227	False
Garra_flavatra	False
Garra_lissorhynchus	False
Barbatula_barbatula	False
Barbatula_toni	False
Triplophysa_gundriseri	False
Triplophysa_rosa	False
n238238	False
n259	False
